affiliation_id,start_date,end_date,is_primary,author_id
1,01.01.2015,,yes,10.0
1,01.03.2016,31.05.2018,no,29.0
1,01.01.2014,31.12.2017,yes,32.0
1,01.01.2014,,yes,54.0
1,01.04.2019,,yes,55.0
1,01.04.2017,31.01.2019,yes,55.0
1,01.01.2014,,yes,56.0
1,01.04.2020,,yes,64.0
1,01.01.2021,31.12.2024,yes,65.0
1,01.06.2024,,yes,66.0
1,01.04.2018,,yes,67.0
1,01.01.2014,,yes,68.0
1,01.01.2014,31.08.2016,yes,71.0
1,01.01.2014,,yes,73.0
1,01.01.2014,31.01.2019,yes,74.0
1,01.01.2014,30.09.2019,yes,75.0
1,01.02.2016,30.09.2019,yes,76.0
1,01.10.2012,,yes,81.0
1,01.08.2018,,yes,82.0
1,01.01.2018,31.12.2019,no,83.0
1,01.05.2014,,yes,87.0
1,01.09.2017,,yes,88.0
1,01.01.2014,31.08.2015,yes,88.0
1,01.01.2014,,yes,89.0
1,01.09.2020,30.09.2023,yes,90.0
1,01.01.2019,,yes,91.0
1,01.01.2014,,yes,92.0
1,01.01.2014,,yes,93.0
1,01.06.2016,31.05.2024,yes,103.0
1,01.10.2019,,yes,104.0
1,01.10.2013,,yes,105.0
1,01.01.2019,31.08.2023,yes,106.0
1,01.04.2017,28.02.2022,yes,118.0
1,01.01.2019,30.06.2020,yes,119.0
1,01.01.2014,,yes,127.0
1,01.09.2015,,yes,138.0
1,01.01.2014,,yes,142.0
1,01.09.2020,,yes,163.0
1,01.01.2017,31.12.2023,yes,166.0
1,01.02.2017,31.03.2018,yes,180.0
1,01.02.2014,30.09.2020,yes,181.0
1,01.10.2014,31.12.2015,yes,182.0
1,01.04.2020,,yes,184.0
1,01.10.2008,31.12.2022,no,198.0
1,01.01.2019,31.03.2024,yes,201.0
1,01.07.2020,,yes,202.0
1,01.01.2014,28.02.2019,yes,206.0
1,01.01.2010,31.05.2013,yes,219.0
1,01.01.2017,31.03.2018,yes,223.0
1,01.04.2015,31.12.2017,yes,226.0
1,01.01.2014,,yes,227.0
1,01.01.2014,30.11.2017,yes,249.0
1,01.10.2014,31.03.2018,yes,252.0
1,01.02.2014,31.08.2024,yes,275.0
1,01.01.2014,,yes,276.0
1,01.10.2017,31.01.2019,yes,297.0
1,01.11.2019,,yes,329.0
1,01.06.2017,,yes,333.0
1,01.08.2017,30.06.2023,yes,334.0
1,01.01.2014,30.09.2019,yes,361.0
1,01.09.2018,,yes,382.0
1,01.10.2016,,yes,387.0
1,01.11.2017,31.10.2020,yes,409.0
1,01.01.2014,,yes,425.0
1,01.10.2016,30.04.2025,yes,434.0
1,01.01.2014,30.09.2020,yes,446.0
1,01.01.2014,,yes,452.0
1,01.03.2017,31.05.2021,yes,453.0
1,01.04.2017,21.12.2018,yes,454.0
1,01.10.2015,31.12.2021,yes,458.0
1,01.05.2020,30.03.2021,no,460.0
1,01.03.2022,,yes,460.0
1,01.10.2017,30.09.2018,yes,460.0
1,01.11.2018,31.07.2023,yes,461.0
1,01.01.2019,31.12.2021,yes,463.0
1,01.04.2015,31.08.2021,yes,464.0
1,01.10.2025,,yes,464.0
1,01.01.2019,30.11.2021,yes,477.0
1,01.12.2017,31.08.2022,yes,480.0
1,01.01.2014,,yes,487.0
1,01.01.2014,,yes,495.0
1,01.10.2015,30.09.2017,no,505.0
1,01.04.2018,31.03.2020,yes,507.0
1,01.02.2019,,yes,508.0
1,01.01.2014,,yes,509.0
1,01.10.2018,30.09.2022,yes,514.0
1,01.09.2018,,yes,517.0
1,01.02.2017,,yes,551.0
1,01.02.2022,,yes,553.0
1,01.05.2018,30.04.2023,yes,568.0
1,01.01.2015,31.12.2019,yes,569.0
1,01.05.2020,,yes,572.0
1,01.01.2017,,yes,573.0
1,01.12.2023,,yes,587.0
1,01.01.2020,,yes,592.0
1,01.11.2016,31.12.2018,yes,607.0
1,01.10.2021,,yes,615.0
1,01.07.2016,,yes,636.0
1,01.01.2018,31.01.2023,yes,642.0
1,01.04.2016,30.04.2020,yes,674.0
1,01.01.2021,,yes,683.0
1,01.01.2014,31.01.2018,yes,683.0
1,01.01.2018,31.08.2021,yes,701.0
1,01.08.2021,,yes,709.0
1,01.01.2014,,yes,711.0
1,01.01.2018,30.09.2019,yes,717.0
1,01.09.2016,,yes,744.0
1,01.04.2020,31.12.2022,yes,745.0
1,01.01.2019,,yes,751.0
1,01.01.2017,,yes,752.0
1,01.01.2014,,yes,753.0
1,01.01.2021,,yes,757.0
1,01.02.2023,31.10.2024,yes,763.0
1,01.01.2014,,yes,766.0
1,01.01.2014,30.04.2018,yes,791.0
1,01.10.2020,,yes,802.0
1,01.01.2014,31.08.2017,yes,807.0
1,01.01.2018,,yes,808.0
1,01.01.2014,,yes,820.0
1,01.01.2014,,yes,867.0
1,01.10.2013,31.08.2018,yes,897.0
1,01.01.2026,,yes,905.0
1,01.04.2018,30.06.2020,yes,906.0
1,01.01.2014,30.08.2014,yes,936.0
1,01.01.2014,,yes,1005.0
1,01.01.2014,,yes,1040.0
1,01.04.2014,,yes,1041.0
1,01.01.2019,31.12.2019,yes,1042.0
1,01.01.2019,,yes,1093.0
1,01.01.2014,,yes,1195.0
