scholar_id,given_name,family_name,full_name,is_editor,field_of_study,former_surname,field_of_study_broad
1,Taylan,Acar,Taylan Acar,False,Migrationsforschung,,Migration & Integration
2,Silke,Aisenbrey,Silke Aisenbrey,False,Soziologie,,Soziologie & Gesellschaft
3,Anette,Fasang,Anette Fasang,False,Mikrosoziologie,,Soziologie & Gesellschaft
4,Alyssa J.,Alexander,Alyssa J. Alexander,False,Entwicklungspsychologie,,Psychologie
5,Mikaela J.,Dufur,Mikaela J. Dufur,False,Kindheits- und Jugendsoziologie,,Soziologie & Gesellschaft
6,Michael R.,Cope,Michael R. Cope,False,Gemeinschaftssoziologie,,Soziologie & Gesellschaft
7,Jonathan A.,Jarvis,Jonathan A. Jarvis,False,Globale Bildung,,Bildung & Erziehungswissenschaft
8,Amy R.,Read,Amy R. Read,False,Demografie,,Demographie & Lebensverlauf
9,Jutta,Allmendinger,Jutta Allmendinger,False,Bildungssoziologie,,Bildung & Erziehungswissenschaft
10,Corinna,Kleinert,Corinna Kleinert,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
11,Reinhard,Pollak,Reinhard Pollak,False,Bildungssoziologie,,Bildung & Erziehungswissenschaft
12,Basha,Vicari,Basha Vicari,False,Arbeitsmarktsoziologie,,Ökonomie & Arbeitsmarkt
13,Oliver,Wölfel,Oliver Wölfel,False,Weiterbildungsforschung,,Bildung & Erziehungswissenschaft
14,Agnieszka,Althaber,Agnieszka Althaber,False,Berufliche Bildung,,Bildung & Erziehungswissenschaft
15,Manfred,Antoni,Manfred Antoni,False,Arbeitsmarktökonomik,,Ökonomie & Arbeitsmarkt
16,Bernhard,Christoph,Bernhard Christoph,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
17,Katrin,Drasch,Katrin Drasch,False,Arbeitsmarktforschung,,Ökonomie & Arbeitsmarkt
18,Florian,Janik,Florian Janik,False,Weiterbildungsforschung,,Bildung & Erziehungswissenschaft
19,Ralf,Künster,Ralf Künster,False,Erhebungsmethoden,,Methoden & Statistik
20,Marie-Christine,Laible,Marie-Christine Laible,False,Forschungsdateninfrastruktur,,Forschungsmanagement
21,Kathrin,Leuze,Kathrin Leuze,False,Arbeitsmarktforschung,,Ökonomie & Arbeitsmarkt
22,Britta,Matthes,Britta Matthes,False,Arbeitsmarktforschung,,Ökonomie & Arbeitsmarkt
23,Michael,Ruland,Michael Ruland,False,Bildung und interkulturelle Kompetenzen,,Migration & Integration
24,Benjamin,Schulz,Benjamin Schulz,False,Berufsbildung und lebenslanges Lernen,,Bildung & Erziehungswissenschaft
25,Annette,Trahms,Annette Trahms,False,Surveymethodologie,,Methoden & Statistik
26,Pascal,Alscher,Pascal Alscher,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
27,Ulrich,Ludewig,Ulrich Ludewig,False,Lesekompetenz,,Bildung & Erziehungswissenschaft
28,Nele,McElvany,Nele McElvany,False,Kompetenzforschung,,Bildung & Erziehungswissenschaft
29,Shima,Aminipour,Shima Aminipour,False,Frühe Bildung,,Bildung & Erziehungswissenschaft
30,Ali,Asgari,Ali Asgari,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
31,Elaheh,Hejazi,Elaheh Hejazi,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
32,Hans-Günther,Roßbach,Hans-Günther Roßbach,False,Frühkindliche Bildung,,Bildung & Erziehungswissenschaft
33,Yvonne,Anders,Yvonne Anders,True,Frühkindliche Bildungsforschung,,Bildung & Erziehungswissenschaft
34,Hans-Dieter,Daniel,Hans-Dieter Daniel,True,Sozialpsychologie,,Psychologie
35,Bettina,Hannover,Bettina Hannover,True,Schul- und Unterrichtsforschung,,Bildung & Erziehungswissenschaft
36,Olaf,Köller,Olaf Köller,True,Bildungsmonitoring,,Bildung & Erziehungswissenschaft
37,Dieter,Lenzen,Dieter Lenzen,True,Erziehungswissenschaft,,Bildung & Erziehungswissenschaft
38,Tina,Seidel,Tina Seidel,True,Pädagogische Psychologie,,Psychologie
39,Rudolf,Tippelt,Rudolf Tippelt,True,Erwachsenenbildung,,Bildung & Erziehungswissenschaft
40,Ludger,Wößmann,Ludger Wößmann,True,Bildungsökonomik,,Ökonomie & Arbeitsmarkt
41,Gunnar,Andersson,Gunnar Andersson,False,Demografieforschung,,Demographie & Lebensverlauf
42,Elizabeth,Thomson,Elizabeth Thomson,False,Soziologie,,Soziologie & Gesellschaft
43,Aija,Duntava,Aija Duntava,False,Soziologie,,Soziologie & Gesellschaft
44,Christina,Anger,Christina Anger,False,Bildungsökonomik,,Ökonomie & Arbeitsmarkt
45,Wido,Geis-Thöne,Wido Geis-Thöne,False,Familienökonomik,,Ökonomie & Arbeitsmarkt
46,Silke,Anger,Silke Anger,False,Bildungsökonomik,,Ökonomie & Arbeitsmarkt
47,Pascal,Heß,Pascal Heß,False,Übergänge im Lebensverlauf,,Demographie & Lebensverlauf
48,Simon,Janssen,Simon Janssen,False,Arbeitsökonomik,,Ökonomie & Arbeitsmarkt
49,Ute,Leber,Ute Leber,False,Arbeitsforschung,,Ökonomie & Arbeitsmarkt
50,Christian,Westermeier,Christian Westermeier,False,Ungleichheitsforschung,,Soziologie & Gesellschaft
51,Hans-Dieter,Gerner,Hans-Dieter Gerner,False,Arbeitsmarktökonomik,,Ökonomie & Arbeitsmarkt
52,Robert,Jäckle,Robert Jäckle,False,Verhaltensökonomik,,Ökonomie & Arbeitsmarkt
53,Stefan,Schwarz,Stefan Schwarz,False,Arbeitsmarktforschung,,Ökonomie & Arbeitsmarkt
54,Daniel,Bela,Daniel Bela,False,Survey-Technologie,,Methoden & Statistik
55,Cordula,Artelt,Cordula Artelt,False,Pädagogische Psychologie,,Psychologie
56,Michaela,Sixt,Michaela Sixt,False,Bildungssoziologie,,Bildung & Erziehungswissenschaft
57,Mathias,Bug,Mathias Bug,False,Forschungsdateninfrastruktur,,Forschungsmanagement
58,Kai,Maaz,Kai Maaz,False,Bildungssoziologie,,Bildung & Erziehungswissenschaft
59,Thomas,Runge,Thomas Runge,False,Forschungsdateninfrastruktur,,Forschungsmanagement
60,Uta,Brehm,Uta Brehm,False,Soziologie,,Soziologie & Gesellschaft
61,Ina,Rüber-Tehe,Ina Rüber,False,Erwachsenenbildung,Rüber,Bildung & Erziehungswissenschaft
62,Jens,Ruhose,Jens Ruhose,False,Arbeitsökonomik,,Ökonomie & Arbeitsmarkt
63,Robin,Busse,Robin Busse,False,Berufliche Bildung,,Bildung & Erziehungswissenschaft
64,Christian,Aßmann,Christian Aßmann,False,Ökonometrie,,Ökonomie & Arbeitsmarkt
65,Jean-Christoph,Gaasch,Jean-Christoph Gaasch,False,Statistik,,Methoden & Statistik
66,Doris,Stingl,Doris Stingl,False,Survey-Methodologie,,Methoden & Statistik
67,Uta,Landrock,Uta Landrock,False,Survey-Methodologie,,Methoden & Statistik
68,Ariane,Würbach,Ariane Würbach,False,Survey-Statistik,,Methoden & Statistik
69,Steffi,Pohl,Steffi Pohl,False,Survey-Methodologie,,Methoden & Statistik
70,Claus H.,Carstensen,Claus H. Carstensen,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
71,Solange,Goßmann,Solange Goßmann,False,Statistische Methoden,,Methoden & Statistik
72,Ferdinand,Geissler,Ferdinand Geissler,False,Empirische Sozialforschung,,Soziologie & Gesellschaft
73,Anika,Bela,Anika Bela,False,Bildungsökonomik,,Ökonomie & Arbeitsmarkt
74,Hans Walter,Steinhauer,Hans Walter Steinhauer,False,Survey-Methodologie,,Methoden & Statistik
75,Sabine,Zinn,Sabine Zinn,False,Survey-Methodologie,,Methoden & Statistik
