author1_id,author2_id,paper_id,year,journal,title
150,178,WOS:001587500000001,2025,INTERNATIONAL JOURNAL OF STEM EDUCATION,"Teaching quality in STEM education: differences between in- and
out-of-school contexts from the perspective of gifted students"
150,177,WOS:000461096600003,2019,READING AND WRITING,"When a silent reading fluency test measures more than reading fluency:
academic language features predict the test performance of students with
a non-German home language"
150,178,WOS:000461096600003,2019,READING AND WRITING,"When a silent reading fluency test measures more than reading fluency:
academic language features predict the test performance of students with
a non-German home language"
150,179,WOS:000461096600003,2019,READING AND WRITING,"When a silent reading fluency test measures more than reading fluency:
academic language features predict the test performance of students with
a non-German home language"
177,178,WOS:000461096600003,2019,READING AND WRITING,"When a silent reading fluency test measures more than reading fluency:
academic language features predict the test performance of students with
a non-German home language"
177,179,WOS:000461096600003,2019,READING AND WRITING,"When a silent reading fluency test measures more than reading fluency:
academic language features predict the test performance of students with
a non-German home language"
178,179,WOS:000461096600003,2019,READING AND WRITING,"When a silent reading fluency test measures more than reading fluency:
academic language features predict the test performance of students with
a non-German home language"
27,28,WOS:001498256800002,2025,LEARNING AND INSTRUCTION,"Reading literacy decline in Europe: Disentangling school closures and
out-of-school learning conditions during the COVID-19 pandemic"
27,86,WOS:001498256800002,2025,LEARNING AND INSTRUCTION,"Reading literacy decline in Europe: Disentangling school closures and
out-of-school learning conditions during the COVID-19 pandemic"
28,86,WOS:001498256800002,2025,LEARNING AND INSTRUCTION,"Reading literacy decline in Europe: Disentangling school closures and
out-of-school learning conditions during the COVID-19 pandemic"
149,150,WOS:001651289800001,2025,EDUCATIONAL PSYCHOLOGY,"How do learners practice? - theory-informed sequence analyses to
investigate self-regulated learning processes and their link to
achievement"
149,179,WOS:001651289800001,2025,EDUCATIONAL PSYCHOLOGY,"How do learners practice? - theory-informed sequence analyses to
investigate self-regulated learning processes and their link to
achievement"
150,179,WOS:001651289800001,2025,EDUCATIONAL PSYCHOLOGY,"How do learners practice? - theory-informed sequence analyses to
investigate self-regulated learning processes and their link to
achievement"
147,149,WOS:000986102000001,2023,LEARNING AND INSTRUCTION,"The dark side of detracking: Mixed-ability classrooms negatively affect
the academic self-concept of students with low academic achievement"
149,1032,WOS:000347274300002,2015,LEARNING AND INSTRUCTION,"Dimensional Comparison Theory: Paradoxical relations between
self-beliefs and achievements in multiple domains"
14,21,WOS:000937114100006,2023,SOCIAL INCLUSION,"Financial Solidarity or Autonomy? How Gendered Wealth and Income
Inequalities Influence Couples' Money Management"
207,273,WOS:001498770800004,2025,SOCIAL INCLUSION,"Pathways to Inclusion? Labor Market Entry Trajectories of Persons With
Disabilities in Europe"
9,10,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
9,11,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
9,15,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
9,17,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
9,18,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
9,21,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
9,22,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
9,23,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
10,11,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
10,15,WOS:000293098700019,2011,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,Adult education and lifelong learning
